STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
1,5/17/2001,2001,MAY,5,5.62,0.337479096,,,,
17,5/17/2001,2001,MAY,5,1.66,-0.545572353,,,,
18,5/17/2001,2001,MAY,5,5.98,0.4177565,0.069887748,-11.48623974,4.42,
1,6/16/2001,2001,JUNE,6,2.15 ,-0.436305886,,,,
17,6/16/2001,2001,JUNE,6,2.92 ,-0.264601437,,,,
18,6/16/2001,2001,JUNE,6,2.67 ,-0.320349635,-0.340418986,-11.82665873,2.58,
1,7/17/2001,2001,JULY,7,4.56 ,0.101106738,,,,
17,7/17/2001,2001,JULY,7,0.98 ,-0.69720745,,,,
18,7/17/2001,2001,JULY,7,3.50 ,-0.136380583,-0.244160432,-12.07081916,3.011666667,
1,8/16/2001,2001,AUGUST,8,13.7 ,2.139260841,,,,
17,8/16/2001,2001,AUGUST,8,1.90 ,-0.492054083,,,,
18,8/16/2001,2001,AUGUST,8,4.26 ,0.034208901,0.560471886,-11.51034727,6.62,
1,9/18/2001,2001,SEPTEMBER,9,0.1 ,-0.892772127,,,,
17,9/18/2001,2001,SEPTEMBER,9,0.10 ,-0.892772127,,,,
18,9/18/2001,2001,SEPTEMBER,9,0.10 ,-0.892772127,-0.892772127,-12.4031194,0.103,
1,10/17/2001,2001,OCTOBER,10,0.10 ,-0.892772127,,,,
17,10/17/2001,2001,OCTOBER,10,0.10 ,-0.892772127,,,,
18,10/17/2001,2001,OCTOBER,10,0.10 ,-0.892772127,-0.892772127,-13.29589153,0.103,
1,11/8/2001,2001,NOVEMBER,11,4.1 ,0.000759983,,,,
17,11/8/2001,2001,NOVEMBER,11,1.59 ,-0.561181848,,,,
18,11/8/2001,2001,NOVEMBER,11,0.10 ,-0.892772127,-0.484397998,-13.78028952,1.934333333,
1,12/3/2001,2001,DECEMBER,12,2.6 ,-0.327039419,,,,
17,12/3/2001,2001,DECEMBER,12,0.51 ,-0.802014062,,,,
18,12/3/2001,2001,DECEMBER,12,1.91 ,-0.489824155,-0.539625879,-14.3199154,1.686666667,
1,1/14/2002,2002,JANUARY,1,7.05,0.656358786,,,,
17,1/14/2002,2002,JANUARY,1,0.10,-0.892772127,,,,
18,1/14/2002,2002,JANUARY,1,2.90,-0.269061293,-0.168491545,-14.48840695,3.351,
1,2/13/2002,2002,FEBRUARY,2,0.10,-0.892772127,,,,
17,2/13/2002,2002,FEBRUARY,2,0.10,-0.892772127,,,,
18,2/13/2002,2002,FEBRUARY,2,0.10,-0.892772127,-0.892772127,-15.38117908,0.103,
1,3/19/2002,2002,MARCH,3,0.10,-0.892772127,,,,
17,3/19/2002,2002,MARCH,3,0.10,-0.892772127,,,,
18,3/19/2002,2002,MARCH,3,0.10,-0.892772127,-0.892772127,-16.2739512,0.103,
1,4/15/2002,2002,APRIL,4,0.10,-0.892772127,,,,
17,4/15/2002,2002,APRIL,4,0.45,-0.815393629,,,,
18,4/15/2002,2002,APRIL,4,0.10,-0.892772127,-0.866979295,-17.1409305,0.218666667,
1,5/13/2002,2002,MAY,5,0.10,-0.892772127,,,,
17,5/13/2002,2002,MAY,5,0.10,-0.892772127,,,,
18,5/13/2002,2002,MAY,5,0.10,-0.892772127,-0.892772127,-18.03370262,0.103,
1,6/11/2002,2002,JUNE,6,0.10,-0.892772127,,,,
17,6/11/2002,2002,JUNE,6,0.10,-0.892772127,,,,
18,6/11/2002,2002,JUNE,6,0.10,-0.892772127,-0.892772127,-18.92647475,0.103,
1,7/18/2002,2002,JULY,7,0.10,-0.892772127,,,,
17,7/18/2002,2002,JULY,7,0.10,-0.892772127,,,,
18,7/18/2002,2002,JULY,7,0.53,-0.797554206,-0.86103282,-19.78750757,0.245333333,
1,8/15/2002,2002,AUGUST,8,0.1 ,-0.892772127,,,,
