STA,DATE,YEAR,MONTH,MONTH#,PO4,Zscore PO4,meanZ,CUSUM,mean PO4,wetdryave
18,4/14/2003,2003,APRIL,4,0.06,-1.047015759,-3.044039775,-40.27308617,0.22,
1,5/12/2003,2003,MAY,5,0.29,-0.489222619,,,,
17,5/12/2003,2003,MAY,5,0.2,-0.7074895,,,,
18,5/12/2003,2003,MAY,5,0.18,-0.755993251,-1.952705369,-42.22579154,0.67,
1,6/20/2003,2003,JUNE,6,0.53,0.092822398,,,,
17,6/20/2003,2003,JUNE,6,0.23,-0.634733873,,,,
18,6/20/2003,2003,JUNE,6,0.42,-0.173948235,-0.71585971,-42.94165125,1.18,
1,7/15/2003,2003,JULY,7,0.39,-0.246703862,,,,
17,7/15/2003,2003,JULY,7,0.26,-0.561978246,,,,
18,7/15/2003,2003,JULY,7,0.39,-0.246703862,-1.055385969,-43.99703722,1.04,
1,8/12/2003,2003,AUGUST,8,0.6,0.262585527,,,,
17,8/12/2003,2003,AUGUST,8,0.41,-0.198200111,,,,
18,8/12/2003,2003,AUGUST,8,0.43,-0.149696359,-0.085310942,-44.08234817,1.44,
1,9/24/2003,2003,SEPTEMBER,9,1.28,1.911713073,,,,
17,9/24/2003,2003,SEPTEMBER,9,0.64,0.35959303,,,,
18,9/24/2003,2003,SEPTEMBER,9,0.67,0.432348657,2.70365476,-41.37869341,2.59,
1,10/14/2003,2003,OCTOBER,10,0.89,0.965889922,,,,
17,10/14/2003,2003,OCTOBER,10,0.63,0.335341154,,,,
18,10/14/2003,2003,OCTOBER,10,0.72,0.553608035,1.854839112,-39.52385429,2.24,
1,11/18/2003,2003,NOVEMBER,11,0.53,0.092822398,,,,
17,11/18/2003,2003,NOVEMBER,11,0.67,0.432348657,,,,
18,11/18/2003,2003,NOVEMBER,11,0.4,-0.222451986,0.302719068,-39.22113523,1.6,
1,12/18/2003,2003,DECEMBER,12,0.47,-0.052688856,,,,
17,12/18/2003,2003,DECEMBER,12,0.27,-0.53772637,,,,
18,12/18/2003,2003,DECEMBER,12,0.21,-0.683237624,-1.27365285,-40.49478808,0.95,
1,1/13/2004,2004,JANUARY,1,0.19,-0.731741375,,,,
17,1/13/2004,2004,JANUARY,1,0.18,-0.755993251,,,,
18,1/14/2004,2004,JANUARY,1,0.32,-0.416466992,-1.904201618,-42.39898969,0.69,
1,2/10/2004,2004,FEBRUARY,2,0.14,-0.853000754,,,,
17,2/10/2004,2004,FEBRUARY,2,0.19,-0.731741375,,,,
18,2/10/2004,2004,FEBRUARY,2,0.22,-0.658985748,-2.243727878,-44.64271757,0.55,
1,3/17/2004,2004,MARCH,3,0.21,-0.683237624,,,,
17,3/17/2004,2004,MARCH,3,0.19,-0.731741375,,,,
18,3/17/2004,2004,MARCH,3,0.16,-0.804497002,-2.219476002,-46.86219357,0.56,
1,4/17/2004,2004,APRIL,4,0.27,-0.53772637,,,,
17,4/17/2004,2004,APRIL,4,0.09,-0.974260132,,,,
18,4/17/2004,2004,APRIL,4,0.09,-0.974260132,-2.486246634,-49.34844021,0.45,1.504285714
1,5/11/2004,2004,MAY,5,0.39,-0.246703862,,,,
17,5/11/2004,2004,MAY,5,0.37,-0.295207613,,,,
18,5/11/2004,2004,MAY,5,0.25,-0.586230121,-1.128141596,-50.4765818,1.01,
1,6/15/2004,2004,JUNE,6,0.32,-0.416466992,,,,
17,6/15/2004,2004,JUNE,6,0.27,-0.53772637,,,,
18,6/15/2004,2004,JUNE,6,0.23,-0.634733873,-1.588927234,-52.06550904,0.82,
1,7/13/2004,2004,JULY,7,1.06,1.378171808,,,,
17,7/13/2004,2004,JULY,7,0.52,0.068570522,,,,
18,7/13/2004,2004,JULY,7,0.71,0.52935616,1.97609849,-50.08941055,2.29,
1,8/18/2004,2004,AUGUST,8,0.67,0.432348657,,,,
17,8/18/2004,2004,AUGUST,8,0.37,-0.295207613,,,,
18,8/18/2004,2004,AUGUST,8,0.46,-0.076940732,0.060200312,-50.02921024,1.5,
1,9/14/2004,2004,SEPTEMBER,9,0.87,0.917386171,,,,
17,9/14/2004,2004,SEPTEMBER,9,0.24,-0.610481997,,,,
